deva	slp1	entries
अ	a	25599
आ	A	7160
इ	i	1359
ई	I	339
उ	u	8615
ऊ	U	572
ऋ	f	779
ॠ	F	14
ऌ	x	6
ॡ	X	8
ए	e	1312
ऐ	E	314
ओ	o	247
औ	O	590
क	k	20502
ख	K	1563
ग	g	7547
घ	G	1101
ङ	N	7
च	c	5439
छ	C	830
ज	j	5077
झ	J	214
ञ	Y	7
ट	w	168
ठ	W	24
ड	q	187
ढ	Q	52
ण	R	12
त	t	8185
थ	T	31
द	d	10874
ध	D	3587
न	n	11746
प	p	31035
फ	P	761
ब	b	5591
भ	B	6736
म	m	16215
य	y	4456
र	r	7742
ल	l	3981
व	v	28396
श	S	14658
ष	z	823
स	s	36866
ह	h	5198
